project,description,url,currency,milestone,systems to replace,cost,cost USD,date
British Columbia’s Integrated Case Management system,,http://spectrum.ieee.org/riskfactor/computing/it/british-columbias-integrated-case-management-system-falls-over,C$,start,56,182000000,,
British Columbia’s Integrated Case Management system,,http://spectrum.ieee.org/riskfactor/computing/it/british-columbias-integrated-case-management-system-falls-over,C$,complete,17,182000000,,
California's Court Management System,,http://www.sfgate.com/bayarea/matier-ross/article/Computer-system-dropped-after-500-million-spent-3450186.php,US$,start,58,260000000,260000000,
California's Court Management System,,http://www.sfgate.com/bayarea/matier-ross/article/Computer-system-dropped-after-500-million-spent-3450186.php,US$,complete,6,556000000,500000000,
California's MyCalPays payroll modernization project,,http://www.lao.ca.gov/Recommendations/Details/761,US$,start,13,132000000,132000000,2004
California's MyCalPays payroll modernization project,,http://www.lao.ca.gov/Recommendations/Details/761,US$,complete,0,262000000,262000000,2013
California's CalPERS benefits management system,,http://googleblog.blogspot.com/2014/02/shedding-some-light-on-foreign.html,US$,start,49,279000000,279000000,
California's CalPERS benefits management system,,http://googleblog.blogspot.com/2014/02/shedding-some-light-on-foreign.html,US$,complete,49,433000000,433000000,
Social Security Administration Disability Case Processing System,,http://oig.ssa.gov/sites/default/files/audit/full/pdf/A-14-15-15016.pdf,US$,start,54,381000000,381000000,
Social Security Administration Disability Case Processing System,,http://oig.ssa.gov/sites/default/files/audit/full/pdf/A-14-15-15016.pdf,US$,to date,0,288000000,288000000,
Navy’s ERP project,,http://www.rand.org/content/dam/rand/pubs/monographs/2011/RAND_MG1171.1.pdf,US$,start,96,627000000,1900000000,
Navy’s ERP project,,http://www.rand.org/content/dam/rand/pubs/monographs/2011/RAND_MG1171.1.pdf,US$,complete,96,925000000,2700000000,
DOD’s DIMHRS Project,,http://spectrum.ieee.org/riskfactor/computing/it/all-us-government-it-projects-under-review,US$,start,90,427000000,427000000,
DOD’s DIMHRS Project,,http://spectrum.ieee.org/riskfactor/computing/it/all-us-government-it-projects-under-review,US$,complete,0,1000000000,1000000000,
UK’s FiReControl project,,http://spectrum.ieee.org/riskfactor/computing/it/uk-firecontrol-it-project-one-of-the-worst-ever,£,start,46,100000000,,
UK’s FiReControl project,,http://spectrum.ieee.org/riskfactor/computing/it/uk-firecontrol-it-project-one-of-the-worst-ever,£,complete,5,469000000,,